City,Month,AvgTemperature
Beijing,11,85.64
Beijing,11,87.44
Beijing,11,89.96
Beijing,11,75.74
Beijing,11,83.66
Beijing,12,82.4
Beijing,12,84.38
Beijing,12,91.04
Beijing,12,87.26
Beijing,12,90.14
Beijing,12,98.24
Beijing,12,92.3
Beijing,12,90.14
Beijing,12,103.28
Beijing,12,90.32
Beijing,12,75.74
Beijing,12,66.56
Beijing,12,75.92
Beijing,12,79.52
Beijing,12,84.92
Beijing,12,70.88
Beijing,12,83.84
Beijing,12,89.24
Beijing,12,82.4
Beijing,12,90.5
Beijing,12,87.8
Beijing,12,94.64
Beijing,12,94.82
Beijing,12,91.76
Beijing,12,86
Beijing,12,83.48
Beijing,12,78.98
Beijing,12,79.16
Beijing,12,78.44
Beijing,12,84.92
Beijing,12,80.06
Beijing,1,80.06
Beijing,1,80.78
Beijing,1,78.98
Beijing,1,-146.2
Beijing,1,81.14
Beijing,1,85.1
Beijing,1,88.88
Beijing,1,79.7
Beijing,1,79.52
Beijing,1,69.08
Beijing,1,60.98
Beijing,1,72.32
Beijing,1,78.08
Beijing,1,90.32
Beijing,1,85.28
Beijing,1,90.86
Beijing,1,85.28
Beijing,1,80.78
Beijing,1,91.94
Beijing,1,86.54
Beijing,1,76.1
Beijing,1,67.82
Beijing,1,59.54
Beijing,1,64.22
Beijing,1,58.64
Beijing,1,60.98
Beijing,1,65.12
Beijing,1,71.6
Beijing,1,83.48
Beijing,1,89.96
Beijing,1,82.58
Beijing,2,86.9
Beijing,2,69.62
Beijing,2,70.52
Beijing,2,76.64
Beijing,2,67.46
Beijing,2,74.84
Beijing,2,74.12
Beijing,2,74.84
Beijing,2,80.06
Beijing,2,77.18
Beijing,2,77.9
Beijing,2,83.12
Beijing,2,91.58
Beijing,2,88.16
Beijing,2,82.58
Beijing,2,90.86
Beijing,2,81.5
Beijing,2,92.12
Beijing,2,93.56
Beijing,2,92.66
Beijing,2,95
Beijing,2,92.12
Beijing,2,102.56
Beijing,2,82.76
Beijing,2,88.7
Beijing,2,97.34
Beijing,2,98.06
Beijing,2,100.4
Beijing,3,99.5
Beijing,3,98.42
Beijing,3,113
Beijing,3,94.64
Beijing,3,94.46
Beijing,3,89.6
Beijing,3,86.54
Beijing,3,95
Beijing,3,97.16
Beijing,3,104.18
Beijing,3,103.46
Beijing,3,107.6
Beijing,3,124.88
Beijing,3,129.56
Beijing,3,109.4
Beijing,3,105.98
Beijing,3,92.48
Beijing,3,107.96
Beijing,3,120.56
Beijing,3,110.66
Beijing,3,107.24
Beijing,3,125.78
Beijing,3,127.4
Beijing,3,136.22
Beijing,3,147.92
Beijing,3,140.9
Beijing,3,149.72
Beijing,3,147.2
Beijing,3,133.7
Beijing,3,132.8
Beijing,3,140.9
Beijing,4,149.72
Beijing,4,150.62
Beijing,4,107.78
Beijing,4,100.94
Beijing,4,103.64
Beijing,4,110.66
Beijing,4,112.82
Beijing,4,131.18
Beijing,4,135.86
Beijing,4,146.66
Beijing,4,154.22
Beijing,4,143.96
Beijing,4,122.9
Beijing,4,135.68
Beijing,4,139.28
Beijing,4,148.1
Beijing,4,147.74
Beijing,4,151.52
Beijing,4,158.36
Beijing,4,161.24
Beijing,4,135.14
Beijing,4,129.74
Beijing,4,134.06
Beijing,4,145.58
Beijing,4,150.08
Beijing,4,151.7
Beijing,4,153.86
Beijing,4,158.72
Beijing,4,164.3
Beijing,4,150.62
Beijing,5,145.22
Beijing,5,147.92
Beijing,5,145.58
Beijing,5,158.54
Beijing,5,152.06
Beijing,5,160.34
Beijing,5,155.84
Beijing,5,154.94
Beijing,5,156.92
Beijing,5,163.22
Beijing,5,152.24
Beijing,5,149.54
Beijing,5,166.82
Beijing,5,176
Beijing,5,169.52
Beijing,5,168.98
Beijing,5,158.36
Beijing,5,165.38
Beijing,5,159.44
Beijing,5,145.22
Beijing,5,143.78
Beijing,5,148.82
Beijing,5,163.76
Beijing,5,174.74
Beijing,5,171.86
Beijing,5,158.9
Beijing,5,176.36
Beijing,5,164.66
Beijing,5,167.9
